"","severity","aspen","distance.pre","distance.post","distance.high","elevation","ppt","tmean","tmin","tmax","ppt.2021","ppt.2022"
"9807",2,0,671.192932128906,671.192932128906,0,2335.67993164062,409.575988769531,5.73000001907349,-8.68089962005615,25.8127002716064,391.963195800781,347.281280517578
"9808",3,0,30,36.0555114746094,30,2275.654296875,494.7919921875,7.06999969482422,-7.27390003204346,25.9666996002197,492.213592529297,420.105804443359
"9809",4,0,10,865.79443359375,846.935607910156,2904.95947265625,608.083862304688,2.67999982833862,-11.8737001419067,22.6089992523193,687.350769042969,628.366271972656
"9810",1,0,10,10,0,2983.5859375,513.899963378906,1.88999998569489,-12.6428995132446,22.0208988189697,445.48388671875,383.910186767578
"9811",4,0,331.058929443359,424.852905273438,94.8683319091797,3204.2041015625,775.024963378906,0.75,-13.8828001022339,19.9384002685547,722.501770019531,707.290283203125
"9812",4,0,564.003540039062,1090.41271972656,408.044128417969,3106.05639648438,661.203002929688,1.17999994754791,-13.2381000518799,20.8268985748291,722.501770019531,707.290283203125
"9813",3,0,92.195442199707,326.955627441406,30,2078.94580078125,463.306976318359,8.10999965667725,-6.94350004196167,27.8529987335205,457.842987060547,385.970489501953
"9814",1,0,122.065551757812,585.234985351562,0,2837.18920898438,463.841979980469,3.15999984741211,-11.226900100708,23.1884002685547,431.540679931641,390.792785644531
"9815",1,0,531.50732421875,531.50732421875,0,1727.02319335938,448.078979492188,8.88000011444092,-8.53600025177002,29.698299407959,394.064300537109,324.555389404297
"9816",2,0,70,70,0,2518.64526367188,481.519989013672,5.06999969482422,-9.2642993927002,25.2157001495361,487.929473876953,435.449493408203
"9817",4,0,107.70329284668,107.70329284668,30,2418.1943359375,411.299987792969,5.53999996185303,-8.89559936523438,25.6567001342773,391.963195800781,347.281280517578
"9818",4,0,181.107711791992,181.107711791992,150,2893.767578125,547.096008300781,2.66999983787537,-11.7135000228882,22.6065998077393,722.501770019531,707.290283203125
"9819",1,0,127.279220581055,127.279220581055,0,2455.64990234375,429.631988525391,5.40000009536743,-8.90759944915771,25.4278984069824,395.470184326172,358.480682373047
"9820",1,0,94.3398132324219,94.3398132324219,0,2594.26025390625,411.154876708984,4.48999977111816,-9.7677001953125,24.4455986022949,410.786193847656,367.047790527344
"9821",2,0,337.342559814453,347.131072998047,0,1867.21960449219,450.303985595703,8.77999973297119,-7.96439981460571,29.1958999633789,394.064300537109,324.555389404297
"9822",1,0,386.393585205078,530,0,2913.0810546875,449.341979980469,2.48000001907349,-11.9263000488281,22.4902000427246,590.17578125,570.173889160156
