"","severity","aspen","seedsource.dist","distance.pre","distance.post","distance.high","elevation","ppt","ppt.111212345","ppt.678910","tmean","tmin1","tmax7","tmax.678910","ppt.2021","ppt.111212345.2021","ppt.678910.2021","tmax.678910.2021","ppt.2022","ppt.111212345.2022","ppt.678910.2022","tmax.678910.2022","bb.presence","bb.severity"
"8202",4,0,60,921.357727050781,926.120910644531,60,3126.517578125,661.203002929688,481.699493408203,233.388896942139,1.17999994754791,-2.68269991874695,20.582498550415,15.9673594474792,722.501770019531,469.845394134521,191.412992477417,16.7516995429993,707.290283203125,514.314289093018,190.911298751831,16.9340391159058,0,38
"8203",3,0,536.656311035156,284.429260253906,581.377685546875,536.656311035156,2803.8486328125,452.341003417969,274.874696731567,195.81859588623,3.68999981880188,-0.533899962902069,23.687198638916,19.0117992401123,492.351593017578,324.940689086914,156.969194412231,20.3482191085815,440.386383056641,256.384189605713,178.545897483826,20.2098997116089,1,55
"8204",1,0,0,164.01220703125,164.01220703125,0,2174.35913085938,481.716979980469,251.075397491455,242.076793670654,7.53999996185303,4.14309978485107,26.041898727417,21.5237192153931,492.213592529297,345.977093696594,159.581799983978,22.9395397186279,420.105804443359,184.016795635223,204.494697570801,22.9379190444946,NA,NA
"8205",4,0,42.4264068603516,254.950988769531,254.950988769531,42.4264068603516,2565.25,533.52099609375,325.683595657349,271.413593292236,4.84999990463257,0.514299988746643,23.1404991149902,18.6146196365356,639.723510742188,405.631284713745,223.719198226929,19.7907794952393,571.860778808594,317.142896652222,261.315393447876,19.7229797363281,0,15
"8206",3,0,67.0820388793945,268.328155517578,268.328155517578,67.0820388793945,3014.13500976562,640.829956054688,481.699493408203,233.388896942139,1.6298999786377,-2.68269991874695,20.582498550415,15.9673594474792,722.501770019531,469.845394134521,191.412992477417,16.7516995429993,707.290283203125,514.314289093018,190.911298751831,16.9340391159058,1,79
"8207",4,0,84.8528137207031,396.232269287109,396.232269287109,84.8528137207031,3223.84326171875,698.534973144531,527.594680786133,253.726192474365,0.870000004768372,-3.55320000648499,20.1054000854492,15.6049996376038,836.643249511719,506.472381591797,232.435091018677,16.7124995231628,827.784851074219,615.747383117676,210.49899482727,16.5273796081543,0,30
"8208",2,0,0,148.660690307617,148.660690307617,0,2537.84448242188,429.631988525391,222.840194702148,194.21969795227,5.40000009536743,2.39450001716614,26.0394992828369,21.3461591720581,395.470184326172,280.036396026611,116.854396820068,22.9473793029785,358.480682373047,177.894092559814,166.063598632812,22.8503597259521,NA,NA
"8209",4,0,94.8683319091797,733.757446289062,934.077087402344,94.8683319091797,2788.20483398438,534.096984863281,362.765296936035,219.726497650146,3.37999987602234,-1.93929994106293,21.8894996643066,17.2245397567749,569.685668945312,378.04029083252,160.012199401855,18.2162393569946,538.364379882812,350.223098754883,176.882497787476,18.3298795700073,0,3
"8210",1,0,0,31.6227760314941,31.6227760314941,0,2485.41064453125,501.871978759766,236.399997711182,233.300098419189,6.25999975204468,4.29489994049072,26.7390995025635,22.1871593475342,463.512298583984,309.98349905014,166.742997646332,23.5962593078613,415.047790527344,178.980798482895,200.946797370911,23.5821195602417,NA,NA
"8211",4,0,108.166534423828,286.3564453125,1330.03759765625,108.166534423828,3167.58471679688,644.148986816406,347.610698699951,206.823894500732,1.16999995708466,-2.21490001678467,21.673999786377,17.054839515686,563.13330078125,352.260999679565,176.004196166992,18.1307598114014,533.375,356.899984359741,173.874994277954,18.0719596862793,NA,NA
